年,月,週,開発内容,開発工程,習得すべきスキル,参考サイトURL,完了
2025,10,1,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2025,10,2,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2025,10,3,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2025,10,4,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2025,11,5,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2025,11,6,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2025,11,7,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2025,11,8,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2025,12,9,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2025,12,10,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2025,12,11,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2025,12,12,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2025,12,13,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2026,1,14,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2026,1,15,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2026,1,16,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2026,1,17,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2026,2,18,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2026,2,19,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2026,2,20,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2026,2,21,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2026,3,22,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2026,3,23,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2026,3,24,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2026,3,25,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2026,3,26,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2026,4,27,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2026,4,28,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2026,4,29,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2026,4,30,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2026,5,31,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2026,5,32,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2026,5,33,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2026,5,34,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2026,6,35,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2026,6,36,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2026,6,37,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2026,6,38,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2026,6,39,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2026,7,40,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2026,7,41,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2026,7,42,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2026,7,43,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2026,8,44,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2026,8,45,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2026,8,46,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2026,8,47,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2026,8,48,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2026,9,49,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2026,9,50,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2026,9,51,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2026,9,52,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2026,10,53,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2026,10,54,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2026,10,55,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2026,10,56,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2026,11,57,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2026,11,58,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2026,11,59,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2026,11,60,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2026,11,61,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2026,12,62,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2026,12,63,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2026,12,64,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2026,12,65,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2027,1,66,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2027,1,67,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2027,1,68,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2027,1,69,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2027,2,70,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2027,2,71,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2027,2,72,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2027,2,73,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2027,3,74,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2027,3,75,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2027,3,76,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2027,3,77,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2027,3,78,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2027,4,79,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2027,4,80,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2027,4,81,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2027,4,82,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2027,5,83,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2027,5,84,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2027,5,85,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2027,5,86,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2027,5,87,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2027,6,88,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2027,6,89,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2027,6,90,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2027,6,91,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2027,7,92,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2027,7,93,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2027,7,94,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2027,7,95,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2027,8,96,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2027,8,97,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2027,8,98,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2027,8,99,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2027,8,100,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2027,9,101,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2027,9,102,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2027,9,103,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2027,9,104,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2027,10,105,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2027,10,106,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2027,10,107,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2027,10,108,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2027,11,109,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2027,11,110,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2027,11,111,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2027,11,112,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2027,11,113,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2027,12,114,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2027,12,115,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2027,12,116,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2027,12,117,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2028,1,118,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2028,1,119,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2028,1,120,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2028,1,121,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2028,1,122,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2028,2,123,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2028,2,124,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2028,2,125,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2028,2,126,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2028,3,127,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2028,3,128,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2028,3,129,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2028,3,130,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2028,4,131,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2028,4,132,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2028,4,133,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2028,4,134,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2028,5,135,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2028,5,136,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2028,5,137,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2028,5,138,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2028,5,139,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2028,6,140,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2028,6,141,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2028,6,142,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2028,6,143,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2028,7,144,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
2028,7,145,シンプルなWebアプリ（ToDoリスト）,要件定義 → 設計 → 実装 → 動作確認 → 振り返り,"HTML, CSS, JavaScript基礎",https://developer.mozilla.org/ja/,
2028,7,146,認証付きWebアプリ（ログイン機能）,要件定義 → 認証フロー設計 → 実装 → デバッグ → 振り返り,"認証/認可, セッション管理",https://auth0.com/docs,
2028,7,147,API開発（REST）,要件定義 → API設計 → 実装 → テスト → 振り返り,"Node.js/Express, REST設計",https://expressjs.com/,
2028,7,148,データベース連携,要件定義 → DB設計 → CRUD実装 → 動作確認 → 振り返り,"SQL基礎, SQLite/PostgreSQL",https://www.postgresql.org/docs/,
2028,8,149,フロント＋バック連携,要件定義 → UI設計 → 実装 → API連携 → 振り返り,"React基礎, API呼び出し",https://react.dev/,
2028,8,150,テスト導入,要件定義 → テストケース設計 → 実装 → 実行 → 振り返り,"Jest, 単体テスト, 統合テスト",https://jestjs.io/,
2028,8,151,小規模チーム開発シミュレーション,要件定義 → Gitフロー設計 → 実装 → プルリク体験 → 振り返り,"Git, GitHub Flow",https://docs.github.com/ja,
2028,8,152,デプロイ（クラウド）,要件定義 → Docker化 → デプロイ設定 → デプロイ → 振り返り,"Docker, Vercel, AWS基礎",https://docs.docker.com/,
2028,9,153,高度なフロントエンド,要件定義 → ページ設計 → 実装 → 状態管理導入 → 振り返り,"Next.js, 状態管理(Redux/Zustand)",https://nextjs.org/docs,
2028,9,154,高度なバックエンド,要件定義 → スキーマ設計 → 実装 → クエリ作成 → 振り返り,"GraphQL, Prisma",https://graphql.org/learn/,
2028,9,155,セキュリティ基礎,要件定義 → 脅威分析 → 実装 → セキュリティテスト → 振り返り,"OWASP Top 10, CSRF/XSS対策",https://owasp.org/,
2028,9,156,アーキテクチャ設計,要件定義 → アーキテクチャ選定 → 実装 → 動作確認 → 振り返り,"MVC, クリーンアーキテクチャ基礎",https://martinfowler.com/,
